1;4;2014|Кремерс-16;39;0;попытка 1 (112)|Фрон-16;51;0;попытка 1 (112)
2;4;2014|Кремерс-18:14;попытка 2 (112)|Фрон-06;58;0;попытка 2 (112),10;53;0;попытка 3 (112 и 911)
3;4;2014|Кремерс-09;33;0;попытка 3 (911),16;0;0;проверка сигнала 1|Фрон-13;50;0;проверка сигнала 1,16;19;0;проверка сигнала 2
4;4;2014|Кремерс-09;33;0;проверка сигнала 2,13;42;0;проверка сигнала 3	никакой активности|Фрон-no activity
5;4;2014|Кремерс-10;50;0;проверка сигнала 4,13;37;0;проверка сигнала 5|Фрон-04;50;0;проверка сигнала 3,05;56;0;включён; батарея разряжена; никакой последующей активности
6;4;2014|Кремерс-10;26;0;проверка сигнала 6 (без пароля),13;37;0;проверка сигнала 7 (без пароля)
11;4;2014|Кремерс-10;51;0;проверка сигнала 8 (без пароля),11;56;0;выключен спустя 1:05 часов; никакой последующей активности
